,E1,E2,W1,W2,N1,N2,S1,S2,Central,NE,NW,SE,SW
246,538.0,494.106,428.845,465.64,320.274,337.888,248.998,317.801,302.537,558.0,243.935,449.313,340.18
247,609.0,419.909,664.133,310.565,303.839,,334.066,502.487,302.537,279.0,262.222,300.831,360.506
248,496.0,480.185,536.367,388.889,357.526,,424.029,452.936,168.539,566.0,556.257,238.923,698.437
249,615.0,316.811,697.206,273.579,314.054,,393.701,359.726,224.719,699.0,439.383,367.495,477.372
250,340.0,164.702,613.359,273.579,339.411,,528.205,280.899,327.582,744.0,586.346,337.888,298.357
251,553.0,379.172,662.983,452.189,320.274,,352.137,79.45,202.559,607.0,131.111,190.262,379.747
252,567.0,419.909,420.761,299.176,378.995,203.703,283.902,286.462,295.843,596.0,276.937,300.831,540.348
253,646.0,316.811,441.989,518.932,252.663,252.663,393.701,280.899,398.178,441.0,284.009,497.823,448.529
254,557.0,572.917,552.486,250.0,232.944,282.486,283.902,280.899,303.03,372.0,379.648,384.165,962.173
255,401.0,368.285,472.044,424.009,225.989,343.659,352.137,327.582,462.37,658.0,312.812,384.165,632.911
256,550.0,232.924,527.762,196.419,319.596,319.596,222.711,397.251,500.014,588.0,195.824,320.982,329.546
257,412.0,379.172,445.429,365.36,399.495,532.993,424.029,317.801,625.287,271.0,221.191,502.001,656.386
